method,frame,lpips,temporal_mse,tlpips_delta
Fine-tuned BasicVSR++,001/00000037,0.16148144006729126,0.0004153730988036841,0.14936892688274384
Fine-tuned BasicVSR++,001/00000038,0.1574631929397583,0.00042062628199346364,0.1473139077425003
Fine-tuned BasicVSR++,001/00000039,0.15850383043289185,0.00044900854118168354,0.1482757329940796
Fine-tuned BasicVSR++,001/00000040,0.1650490164756775,0.00042699382174760103,0.1499737948179245
Fine-tuned BasicVSR++,001/00000041,0.164744570851326,0.0003954099665861577,0.15692485868930817
Fine-tuned BasicVSR++,001/00000042,0.1562614142894745,0.00040551723213866353,0.1494094729423523
Fine-tuned BasicVSR++,001/00000043,0.16696633398532867,0.000399180396925658,0.1543000340461731
Fine-tuned BasicVSR++,001/00000044,0.18004149198532104,0.0004042364889755845,0.15900355577468872
Fine-tuned BasicVSR++,001/00000045,0.1855837106704712,0.0004282845475245267,0.16634345054626465
Fine-tuned BasicVSR++,001/00000046,0.16529428958892822,0.0004241252026986331,0.16024157404899597
Fine-tuned BasicVSR++,001/00000047,0.15990950167179108,0.00041810458060353994,0.14909183979034424
Fine-tuned BasicVSR++,001/00000048,0.15948399901390076,0.0004370366223156452,0.15092119574546814
Fine-tuned BasicVSR++,001/00000049,0.16436153650283813,0.0004368965746834874,0.14790356159210205
Fine-tuned BasicVSR++,001/00000050,0.16102896630764008,0.00042410072637721896,0.14314883947372437
Fine-tuned BasicVSR++,001/00000051,0.16023525595664978,0.0003970491816289723,0.14309030771255493
Fine-tuned BasicVSR++,001/00000052,0.16436420381069183,0.00044205717858858407,0.14694572985172272
Fine-tuned BasicVSR++,001/00000053,0.16595855355262756,0.00039495498640462756,0.15301162004470825
Fine-tuned BasicVSR++,001/00000054,0.16455325484275818,0.0004401079786475748,0.1461450606584549
Fine-tuned BasicVSR++,001/00000055,0.16098971664905548,0.0004255139792803675,0.1481209397315979
Fine-tuned BasicVSR++,001/00000056,0.1638721078634262,0.0004247418255545199,0.14168712496757507
Fine-tuned BasicVSR++,001/00000057,0.16909770667552948,0.0004188591556157917,0.15293817222118378
Fine-tuned BasicVSR++,001/00000058,0.1671869307756424,0.000423962133936584,0.15597693622112274
Fine-tuned BasicVSR++,001/00000059,0.16424602270126343,0.00043349884799681604,0.15349915623664856
Fine-tuned BasicVSR++,001/00000060,0.16940367221832275,0.000447202124632895,0.15249958634376526
Fine-tuned BasicVSR++,001/00000061,0.16986238956451416,0.00042559998109936714,0.1540270447731018
Fine-tuned BasicVSR++,001/00000062,0.17053157091140747,0.0004301955923438072,0.15364916622638702
Fine-tuned BasicVSR++,001/00000063,0.1676338165998459,0.00042434807983227074,0.15711836516857147
Fine-tuned BasicVSR++,001/00000064,0.16469253599643707,0.00042534148087725043,0.15673419833183289
Fine-tuned BasicVSR++,001/00000065,0.16610968112945557,0.0003300141543149948,0.17582881450653076
Fine-tuned BasicVSR++,001/00000066,0.15748468041419983,0.0003775152435991913,0.14580097794532776
Fine-tuned BasicVSR++,001/00000067,0.16354452073574066,0.0004248729383107275,0.1465682089328766
Fine-tuned BasicVSR++,001/00000068,0.16856694221496582,0.0004399856261443347,0.16517861187458038
Fine-tuned BasicVSR++,001/00000069,0.1679401695728302,0.0003966262156609446,0.15596090257167816
Fine-tuned BasicVSR++,001/00000070,0.17621508240699768,0.0004187466111034155,0.164393350481987
Fine-tuned BasicVSR++,001/00000071,0.1836034655570984,0.0004400077450554818,0.16439735889434814
Fine-tuned BasicVSR++,001/00000072,0.16637802124023438,0.0004190024919807911,0.1598774939775467
Fine-tuned BasicVSR++,001/00000073,0.1635955423116684,0.0004057249170728028,0.14892777800559998
Fine-tuned BasicVSR++,001/00000074,0.1607135832309723,0.00044368187082000077,0.1489696502685547
Fine-tuned BasicVSR++,001/00000075,0.16266140341758728,0.0004352958931121975,0.15046805143356323
Fine-tuned BasicVSR++,001/00000076,0.16274115443229675,0.0004242841969244182,0.15230005979537964
Fine-tuned BasicVSR++,001/00000077,0.16875410079956055,0.0004350007511675358,0.15208128094673157
Fine-tuned BasicVSR++,001/00000078,0.16775062680244446,0.0004134886257816106,0.14991185069084167
Fine-tuned BasicVSR++,001/00000079,0.17632900178432465,0.0003925306664314121,0.15411727130413055
Fine-tuned BasicVSR++,001/00000080,0.18522070348262787,0.0004016573657281697,0.1649819016456604
Fine-tuned BasicVSR++,001/00000081,0.17896020412445068,0.0004296748375054449,0.16879688203334808
Fine-tuned BasicVSR++,001/00000082,0.17091472446918488,0.00040930058457888663,0.15666718780994415
Fine-tuned BasicVSR++,001/00000083,0.1749405413866043,0.00039030530024319887,0.15858513116836548
Fine-tuned BasicVSR++,001/00000084,0.17812463641166687,0.0004005188529845327,0.16082167625427246
Fine-tuned BasicVSR++,001/00000085,0.17990130186080933,0.00044891692232340574,0.16327817738056183
Fine-tuned BasicVSR++,001/00000086,0.17192797362804413,0.0003997773164883256,0.16153481602668762
Fine-tuned BasicVSR++,001/00000087,0.17123866081237793,0.0004113317409064621,0.15086190402507782
Fine-tuned BasicVSR++,001/00000088,0.17342723906040192,0.0004049168201163411,0.15738682448863983
Fine-tuned BasicVSR++,001/00000089,0.17667150497436523,0.00038388234679587185,0.1603527069091797
Fine-tuned BasicVSR++,001/00000090,0.17086538672447205,0.0004142413381487131,0.15464171767234802
Fine-tuned BasicVSR++,001/00000091,0.1697780340909958,0.0004355805867817253,0.15394295752048492
Fine-tuned BasicVSR++,001/00000092,0.1745864450931549,0.00045543379383161664,0.16033414006233215
Fine-tuned BasicVSR++,001/00000093,0.18249362707138062,0.0004368451773189008,0.162870392203331
Fine-tuned BasicVSR++,001/00000094,0.18218949437141418,0.0004148232110310346,0.1593661904335022
Fine-tuned BasicVSR++,001/00000095,0.17991270124912262,0.00039733140147291124,0.1653836965560913
Fine-tuned BasicVSR++,001/00000096,0.18484900891780853,0.00039879846735857427,0.1700078547000885
Fine-tuned BasicVSR++,001/00000097,0.20026403665542603,0.0003856506082229316,0.17643499374389648
Fine-tuned BasicVSR++,001/00000098,0.19675984978675842,0.00037679116940125823,0.1816653460264206
Fine-tuned BasicVSR++,001/00000099,0.18608945608139038,0.0004073883465025574,0.17158275842666626
Fine-tuned BasicVSR++,002/00000000,0.10667845606803894,0.00038017096812836826,0.14885056018829346
Fine-tuned BasicVSR++,002/00000001,0.11586418002843857,0.0003379007976036519,0.10501601547002792
Fine-tuned BasicVSR++,002/00000002,0.10407423228025436,0.00026961276307702065,0.09779252856969833
Fine-tuned BasicVSR++,002/00000003,0.12235187739133835,0.0002286407252540812,0.10050206631422043
